sentenece,label,llm_res,correct
充电宝大的有点出乎了我的意料，然后送的袋子也比较差，不好用，丝毫感受不到anker产品应有的诚意，以前在anker买过很多的产品，数据线充电头什么的都特别好，价格贵也就无所谓了，但这次真的很失望。,Negative,Negative,True
东西买回来刚到家，打开检查，就看到有咖啡粉末残渣在里面，这么贵的 东西，竟然是用过的卖给我，已经要求换货，因为需要。如果还是不行，就要求退货。,Negative,Negative,True
一般吧，没我的79买的mx400三代震撼,Negative,Negative,True
跑步很合适，但是做工不佳，连接性也不是很便利,Negative,Negative,True
不支持苹果平板电脑air2,Negative,Negative,True
边框金属和屏幕接缝确实做的有点愣，手感没有苹果摸着舒服。所谓的曲面屏效果一般，黑色机身还好点。仔细看还是能看出屏幕黑边有点宽，原装膜只能说凑合。手机速度没的说可以的，自带Hifi感觉对我来说最大卖点了，谁听歌谁知道。画面分辨率和手机拍照像素确实清楚不少。可惜拍照还是屏幕泛红，不明白旗舰手机为啥还是6.0系统。性价比一般有点对不起这个价钱，有钱任性的小伙伴就无所谓了。机子绝对原装未拆封，送的东西不疼不痒。耗电有待考证，充电器倒是大的惊人。数据接口我就不喷了，感觉是个未完工的旗舰版。,Negative,Negative,True
居然有个耳机是坏的，也难得换勒,Negative,Negative,True
与手机屏幕不是很贴合，贴上后旁边的白色痕迹宽度较大，,Negative,Negative,True
这个膜并非全面膜，贴起来一点也不好看，大家买的时候看清点！,Negative,Negative,True
很好，已经第二次购买了,Positive,Positive,True
太歪了，我才用了一次就冲不起了，质量保证不了哦。心凉的一次购物。,Negative,Negative,True
苹果6p用两年多了，从去年开始一到冬天手机就会突然关机，必须充电才能开机，电量剩多少都会关机，在网上查了很久解决办法，有说是苹果电池保护，达到零下多少度就会关机，还有说电池不行了，个人觉得电池老化的可能性比较靠谱，之前是忌惮换电池得拆机就一直没换，现在手机也不打算卖了，不行就买7.没想到换完电池问题都解决了，用了三四天了，一切正常，中度使用一天没问题，连续玩游戏或看视频五个小时吧，为商城快递点赞，晚上买的第二天中午就到了，品胜电池质量靠谱，安装师傅非常专业三分钟搞定，网购十多年第一次手打评论这么多，有跟我一样问题的朋友可以试试。,Positive,Positive,True
待机真心不行，两块电池也就用一天而已,Negative,Negative,True
服务贼烂，我一买完就降价，而且还降降得特别多，联系客服他说他不知道怎么处理，叫我申请价保，结果商城官方说无法价保，然后客服说这是商家的事，老子不是足球踢来踢去，耳机还贼烂，人生中最烂的网购,Negative,Negative,True
朋友托付买了送妈妈的。还没拆开。商城物流实在快！,Positive,Positive,True
给爸妈买的，音质不错，就是点播了小说一换其他的，就不支持断点了，希望以后能有改进,Positive,Negative,False
买过一个 丢了  又买了一个  还是喜欢这个牌子 希望耐用,Positive,Positive,True
1.用了不到俩月 耳机无法关机.,Negative,Negative,True
非常不错的产品，给上100个赞！不错不错不错,Positive,Positive,True
虚标严重，ipad pro10.5从百分之5开始充，充不满就没电了,Negative,Negative,True
质量看着不好，usb插电口盖起来始终有缝隙,Negative,Negative,True
东西不错是正品，续航能力超强，牌子货还是有保证的，不过就是戴着不是特别的舒服,Positive,Negative,False
手机也用了几天了都还不错的，是真货。全国联保的，颜色也正，声音大，老人用起来非常的简单，非常好用。婆婆和公公超级喜欢，红色和金色都特别漂亮。,Positive,Positive,True
用了还不到3周，莫名其妙就充不上电了，音量调节也有问题，客服爱答不理，莫名其妙。,Negative,Negative,True
初次听感像蒙上了一层纱不够通透，不知是不是没有煲开的原因，没有我的铁三角CKR9通透纯净。煲一段时间看看会不会好点，到时再评希望能给有意购买的人有所帮助。,Negative,Negative,True
耳机很一般，换了个大耳塞效果还是不好,Negative,Negative,True
波导质量还是不错的。亲情号功能不错。老人用很方便,Positive,Positive,True
粘合度差，轻轻一碰就开了，屏幕还有不平一条一条的！,Negative,Negative,True
防摔能力一般,Negative,Negative,True
手机很好  非常没有,Positive,Negative,False
原装苹果数据线表示太松，套上后不费力就能上下活动，,Negative,Negative,True
这还用评价么，当然是this is true music,Positive,Positive,True
